latitude,longitude,brightness,scan,track,acquisition_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,confidence_raw,acquisition_time,distance_to_industry,nearest_industry,industry_type,industrial_association,classification,risk_score,risk_level
8.37619,81.05578,342.02,0.59,0.53,2026-08-26,726,N21,VIIRS,70.0,2.0NRT,282.19,19.03,D,n,0726,501.0,Fallback_0065,refinery,NONE,WILDFIRE,70,HIGH
8.61007,80.39693,341.99,0.45,0.47,2026-08-23,822,N21,VIIRS,70.0,2.0NRT,297.71,12.44,D,n,0822,463.5,Fallback_0065,refinery,NONE,WILDFIRE,70,HIGH
21.10555,72.64699,341.5,0.39,0.36,2026-08-23,826,N21,VIIRS,70.0,2.0NRT,294.7,6.06,D,n,0826,69.03,Fallback_0012,lng_terminal,DISTANT,WILDFIRE,70,HIGH
9.44357,78.05501,341.41,0.5,0.41,2026-08-23,822,N21,VIIRS,70.0,2.0NRT,303.99,12.43,D,n,0822,377.86,Fallback_0071,chemical,NONE,WILDFIRE,70,HIGH
8.91342,80.40723,341.33,0.46,0.47,2026-08-23,822,N21,VIIRS,70.0,2.0NRT,297.16,10.23,D,n,0822,430.09,Fallback_0065,refinery,NONE,WILDFIRE,70,HIGH
9.91635,78.2001,341.27,0.52,0.41,2026-08-23,822,N21,VIIRS,70.0,2.0NRT,302.38,14.59,D,n,0822,328.04,Fallback_0071,chemical,NONE,WILDFIRE,70,HIGH
8.07629,80.77386,341.03,0.47,0.48,2026-08-23,822,N21,VIIRS,70.0,2.0NRT,300.6,26.37,D,n,0822,527.56,Fallback_0065,refinery,NONE,WILDFIRE,70,HIGH
9.45557,80.49669,340.96,0.62,0.54,2026-08-26,726,N21,VIIRS,70.0,2.0NRT,293.67,16.03,D,n,0726,371.57,Fallback_0065,refinery,NONE,WILDFIRE,70,HIGH
8.06793,81.2382,340.73,0.79,0.78,2026-08-22,659,N21,VIIRS,70.0,2.0NRT,287.24,13.42,D,n,0659,539.09,Fallback_0065,refinery,NONE,WILDFIRE,70,HIGH
8.85957,80.99957,340.35,0.58,0.52,2026-08-26,726,N21,VIIRS,70.0,2.0NRT,293.58,11.11,D,n,0726,447.39,Fallback_0065,refinery,NONE,WILDFIRE,70,HIGH
21.37509,81.68103,314.57,0.39,0.36,2026-08-25,2017,N21,VIIRS,70.0,2.0NRT,290.19,3.85,N,n,2017,6.91,Fallback_0056,lng_terminal,NEARBY,INDUSTRIAL_FIRE,70,HIGH
9.45034,78.84183,352.32,0.38,0.59,2026-08-22,841,N21,VIIRS,70.0,2.0NRT,298.5,5.93,D,n,0841,390.69,Fallback_0065,refinery,NONE,WILDFIRE,65,MEDIUM
8.07282,81.23824,350.84,0.54,0.68,2026-08-22,839,N21,VIIRS,70.0,2.0NRT,280.91,7.58,D,n,0839,538.57,Fallback_0065,refinery,NONE,WILDFIRE,65,MEDIUM
8.90054,77.86071,349.93,0.48,0.4,2026-08-23,822,N21,VIIRS,70.0,2.0NRT,302.74,7.04,D,n,0822,436.44,Fallback_0071,chemical,NONE,WILDFIRE,65,MEDIUM
8.90358,77.85583,348.69,0.48,0.4,2026-08-23,822,N21,VIIRS,70.0,2.0NRT,302.48,9.02,D,n,0822,436.08,Fallback_0071,chemical,NONE,WILDFIRE,65,MEDIUM
29.76768,72.25974,348.33,0.41,0.6,2026-08-26,731,N21,VIIRS,70.0,2.0NRT,297.98,8.22,D,n,0731,489.97,Fallback_0032,power_plant,NONE,WILDFIRE,65,MEDIUM
8.8975,77.86558,347.98,0.48,0.4,2026-08-23,822,N21,VIIRS,70.0,2.0NRT,302.76,7.04,D,n,0822,436.8,Fallback_0071,chemical,NONE,WILDFIRE,65,MEDIUM
8.89992,77.85637,346.67,0.48,0.4,2026-08-23,822,N21,VIIRS,70.0,2.0NRT,302.13,6.53,D,n,0822,436.49,Fallback_0071,chemical,NONE,WILDFIRE,65,MEDIUM
9.34347,80.16696,346.15,0.33,0.55,2026-08-26,726,N21,VIIRS,70.0,2.0NRT,290.17,6.12,D,n,0726,380.53,Fallback_0065,refinery,NONE,WILDFIRE,65,MEDIUM
31.25143,73.94572,345.9,0.38,0.36,2026-08-24,809,N21,VIIRS,70.0,2.0NRT,301.62,7.81,D,n,0809,457.03,Fallback_0079,chemical,NONE,WILDFIRE,65,MEDIUM
8.51479,80.82964,344.04,0.4,0.37,2026-08-24,803,N21,VIIRS,70.0,2.0NRT,296.28,6.05,D,n,0803,480.7,Fallback_0065,refinery,NONE,WILDFIRE,65,MEDIUM
8.20706,81.06178,343.86,0.53,0.67,2026-08-22,839,N21,VIIRS,70.0,2.0NRT,287.44,8.36,D,n,0839,519.43,Fallback_0065,refinery,NONE,WILDFIRE,65,MEDIUM
15.17561,76.65761,342.81,0.39,0.36,2026-08-24,805,N21,VIIRS,70.0,2.0NRT,296.54,8.73,D,n,0805,258.92,Fallback_0033,steel_mill,NONE,WILDFIRE,65,MEDIUM
8.47721,80.67898,342.6,0.47,0.48,2026-08-23,822,N21,VIIRS,70.0,2.0NRT,296.91,7.18,D,n,0822,481.96,Fallback_0065,refinery,NONE,WILDFIRE,65,MEDIUM
8.58375,80.76497,342.52,0.48,0.48,2026-08-23,822,N21,VIIRS,70.0,2.0NRT,297.52,8.0,D,n,0822,471.87,Fallback_0065,refinery,NONE,WILDFIRE,65,MEDIUM
8.90116,77.86504,342.45,0.48,0.4,2026-08-23,822,N21,VIIRS,70.0,2.0NRT,302.95,7.04,D,n,0822,436.39,Fallback_0071,chemical,NONE,WILDFIRE,65,MEDIUM
8.61681,81.18475,341.62,0.42,0.37,2026-08-24,803,N21,VIIRS,70.0,2.0NRT,279.75,6.42,D,n,0803,478.73,Fallback_0065,refinery,NONE,WILDFIRE,65,MEDIUM
29.93404,71.85775,341.27,0.45,0.47,2026-08-25,750,N21,VIIRS,70.0,2.0NRT,301.34,5.89,D,n,0750,536.65,Fallback_0032,power_plant,NONE,WILDFIRE,65,MEDIUM
29.93823,71.85663,341.02,0.45,0.47,2026-08-25,750,N21,VIIRS,70.0,2.0NRT,301.42,5.82,D,n,0750,537.03,Fallback_0032,power_plant,NONE,WILDFIRE,65,MEDIUM
27.1462,88.45207,340.92,0.41,0.37,2026-08-22,705,N21,VIIRS,70.0,2.0NRT,295.38,5.8,D,n,0705,451.36,Fallback_0044,steel_mill,NONE,WILDFIRE,65,MEDIUM
8.02749,80.74197,340.54,0.47,0.47,2026-08-23,822,N21,VIIRS,70.0,2.0NRT,297.2,7.01,D,n,0822,532.37,Fallback_0065,refinery,NONE,WILDFIRE,65,MEDIUM
8.91827,80.41072,340.24,0.46,0.47,2026-08-23,822,N21,VIIRS,70.0,2.0NRT,295.58,5.26,D,n,0822,429.6,Fallback_0065,refinery,NONE,WILDFIRE,65,MEDIUM
8.37776,80.44932,340.17,0.48,0.65,2026-08-22,839,N21,VIIRS,70.0,2.0NRT,291.03,6.34,D,n,0839,489.72,Fallback_0065,refinery,NONE,WILDFIRE,65,MEDIUM
8.80171,80.96279,340.01,0.41,0.37,2026-08-24,803,N21,VIIRS,70.0,2.0NRT,293.65,5.25,D,n,0803,452.66,Fallback_0065,refinery,NONE,WILDFIRE,65,MEDIUM
18.57851,72.24107,334.45,0.55,0.51,2026-08-25,2017,N21,VIIRS,70.0,2.0NRT,290.87,10.27,N,n,2017,83.29,Fallback_0096,chemical,DISTANT,WILDFIRE,65,MEDIUM
29.45864,76.85911,330.26,0.53,0.67,2026-08-22,705,N21,VIIRS,70.0,2.0NRT,290.01,30.37,D,n,0705,92.36,Fallback_0003,chemical,DISTANT,WILDFIRE,65,MEDIUM
29.45762,76.86265,329.18,0.49,0.65,2026-08-22,845,N21,VIIRS,70.0,2.0NRT,292.79,12.13,D,n,0845,92.1,Fallback_0003,chemical,DISTANT,WILDFIRE,65,MEDIUM
21.43299,72.97752,310.47,0.47,0.48,2026-08-22,2114,N21,VIIRS,70.0,2.0NRT,291.75,2.15,N,n,2114,19.31,Fallback_0069,lng_terminal,NEARBY,INDUSTRIAL_FIRE,65,MEDIUM
8.24221,80.80006,339.73,0.62,0.54,2026-08-26,726,N21,VIIRS,70.0,2.0NRT,289.42,17.43,D,n,0726,509.88,Fallback_0065,refinery,NONE,WILDFIRE,60,MEDIUM
9.2187,77.62897,339.64,0.47,0.4,2026-08-23,822,N21,VIIRS,70.0,2.0NRT,307.61,10.49,D,n,0822,400.85,Fallback_0071,chemical,NONE,WILDFIRE,60,MEDIUM
9.89958,77.78525,339.16,0.49,0.4,2026-08-23,822,N21,VIIRS,70.0,2.0NRT,303.59,13.81,D,n,0822,325.32,Fallback_0071,chemical,NONE,WILDFIRE,60,MEDIUM
18.57603,72.24243,338.81,0.55,0.51,2026-08-25,2017,N21,VIIRS,70.0,2.0NRT,291.05,9.74,N,n,2017,83.35,Fallback_0096,chemical,DISTANT,WILDFIRE,60,MEDIUM
21.10395,72.64455,338.21,0.43,0.46,2026-08-22,843,N21,VIIRS,70.0,2.0NRT,290.65,5.3,D,n,0843,69.3,Fallback_0012,lng_terminal,DISTANT,WILDFIRE,60,MEDIUM
8.9117,80.47472,338.16,0.63,0.54,2026-08-26,726,N21,VIIRS,70.0,2.0NRT,289.9,11.6,D,n,0726,431.1,Fallback_0065,refinery,NONE,WILDFIRE,60,MEDIUM
